nombre,categoria,cocina,comuna,barrio,lat,long,geometry
BIDOU DE LAS LUCES,RESTAURANTE,INTERNACIONAL,Comuna 1,Monserrat,-34.6111285854679,-58.3748458294464,POINT (-58.3748458294464 -34.6111285854679)
BIDOU DE LAVALLE,RESTAURANTE,MINUTAS,Comuna 1,San Nicolas,-34.6019873026873,-58.3713346513676,POINT (-58.3713346513676 -34.6019873026873)
BIG BEN,RESTAURANTE,INTERNACIONAL,Comuna 1,Retiro,-34.5988554966823,-58.3826046080033,POINT (-58.3826046080033 -34.5988554966823)
BIG GARDEN,RESTAURANTE,INTERNACIONAL,Comuna 1,Retiro,-34.5954114246346,-58.3830746121351,POINT (-58.3830746121351 -34.5954114246346)
BIG MAMMA,RESTAURANTE,INTERNACIONAL,Comuna 14,Palermo,-34.5669544837751,-58.4329707065301,POINT (-58.4329707065301 -34.5669544837751)
BIG MAMMA,RESTAURANTE,MEDITERRANEA,Comuna 14,Palermo,-34.5801465774163,-58.4127777054021,POINT (-58.4127777054021 -34.5801465774163)
BIG MAMMA,RESTAURANTE,TRADICIONAL,Comuna 1,Retiro,-34.5953190345232,-58.3732974124912,POINT (-58.3732974124912 -34.5953190345232)
BILL PLAZA,CAFE,INTERNACIONAL,Comuna 7,Flores,-34.6160378901695,-58.4585078647063,POINT (-58.4585078647063 -34.6160378901695)
BILLY LOMITO,RESTAURANTE,FAST FOOD,Comuna 1,San Nicolas,-34.5988587131616,-58.3753621086916,POINT (-58.3753621086916 -34.5988587131616)
BIO,RESTAURANTE,VEGETARIANA,Comuna 14,Palermo,-34.5812187621092,-58.4311146522592,POINT (-58.4311146522592 -34.5812187621092)
BIRD,RESTAURANTE,TRADICIONAL,Comuna 2,Recoleta,-34.5984307178787,-58.3869883299818,POINT (-58.3869883299818 -34.5984307178787)
BISCIUT,RESTAURANTE,TRADICIONAL,Comuna 2,Recoleta,-34.5986309302088,-58.3963401836149,POINT (-58.3963401836149 -34.5986309302088)
BISTRO SUR,RESTAURANTE,CONTEMPORANEA,Comuna 1,Puerto Madero,-34.6136300825958,-58.3617535312486,POINT (-58.3617535312486 -34.6136300825958)
BLA- BLA,RESTAURANTE,FAST FOOD,Comuna 11,Villa Santa Rita,-34.6228541164111,-58.4820518841435,POINT (-58.4820518841435 -34.6228541164111)
BLOSSOM,RESTAURANTE,MINUTAS,Comuna 1,San Nicolas,-34.6010048762387,-58.3741752025791,POINT (-58.3741752025791 -34.6010048762387)
BO-BO,RESTAURANTE,FUSION,Comuna 14,Palermo,-34.5850562878076,-58.4261526765202,POINT (-58.4261526765202 -34.5850562878076)
BOCADO DULCE Y SALADO,CAFE,SANDWICHERIA,Comuna 3,Balvanera,-34.6060589505708,-58.398141892835,POINT (-58.398141892835 -34.6060589505708)
BOCADOS,RESTAURANTE,TRADICIONAL,Comuna 14,Palermo,-34.5734937910651,-58.4214407783958,POINT (-58.4214407783958 -34.5734937910651)
BOCADOS CAFE,CAFE,SANDWICHERIA,Comuna 9,Parque Avellaneda,-34.6411869402822,-58.4799060678687,POINT (-58.4799060678687 -34.6411869402822)
BOCHICHA,RESTAURANTE,INTERNACIONAL,Comuna 4,Boca,-34.6320733105278,-58.3606742538685,POINT (-58.3606742538685 -34.6320733105278)
BODEN SEE,RESTAURANTE,INTERNACIONAL,Comuna 14,Palermo,-34.5706612906532,-58.4328772790739,POINT (-58.4328772790739 -34.5706612906532)
BOEDO ANTIGUO,RESTAURANTE,TRADICIONAL,Comuna 5,Boedo,-34.634569009994,-58.4221837180726,POINT (-58.4221837180726 -34.634569009994)
BOHEMIA,RESTAURANTE,INTERNACIONAL,Comuna 12,Saavedra,-34.5451345054717,-58.471286674222,POINT (-58.471286674222 -34.5451345054717)
BOKOTO,RESTAURANTE,JAPONESA,Comuna 14,Palermo,-34.5731584351799,-58.4313697482871,POINT (-58.4313697482871 -34.5731584351799)
BOLOGNA,RESTAURANTE,INTERNACIONAL,Comuna 10,Monte Castro,-34.618037660062,-58.5025489766879,POINT (-58.5025489766879 -34.618037660062)
BOM FIM,RESTAURANTE,MINUTAS,Comuna 14,Palermo,-34.5715333723722,-58.4228097663659,POINT (-58.4228097663659 -34.5715333723722)
BOMPLER,RESTAURANTE,INTERNACIONAL,Comuna 1,San Nicolas,-34.6045690931779,-58.3748217681259,POINT (-58.3748217681259 -34.6045690931779)
BOM TEMPO,RESTAURANTE,PIZZERIA,Comuna 7,Flores,-34.628250716659,-58.4657343762369,POINT (-58.4657343762369 -34.628250716659)
BON BIJOU,PUB,PIZZERIA,Comuna 11,Villa Del Parque,-34.604296625527,-58.4930956317041,POINT (-58.4930956317041 -34.604296625527)
BON JOUR,RESTAURANTE,PIZZERIA,Comuna 2,Recoleta,-34.5904158677666,-58.4109866633001,POINT (-58.4109866633001 -34.5904158677666)
BONJOUR - PIZZA,RESTAURANTE,ITALIANA,Comuna 2,Recoleta,-34.5904158677666,-58.4109866633001,POINT (-58.4109866633001 -34.5904158677666)
BORDO,RESTAURANTE,INTERNACIONAL,Comuna 1,San Nicolas,-34.6034049696082,-58.3779788084722,POINT (-58.3779788084722 -34.6034049696082)
BORDO BAR,PUB,PORTEA'A,Comuna 14,Palermo,-34.5794051384502,-58.415458671199,POINT (-58.415458671199 -34.5794051384502)
BOREAL,CAFE,MINUTAS,Comuna 1,Constitucion,-34.624482407797,-58.3829922989408,POINT (-58.3829922989408 -34.624482407797)
BORGOAfaEUR~A,CAFE,PARRILLA,Comuna 3,Balvanera,-34.6112118900036,-58.4043750495838,POINT (-58.4043750495838 -34.6112118900036)
BOSTON CITY,RESTAURANTE,MINUTAS,Comuna 1,San Nicolas,-34.6061256894968,-58.3750252402059,POINT (-58.3750252402059 -34.6061256894968)
BOUTIQUE DEL LIBRO,PUB,INTERNACIONAL,Comuna 14,Palermo,-34.5870103454359,-58.4296364281038,POINT (-58.4296364281038 -34.5870103454359)
BRASIAS,RESTAURANTE,PARRILLA,Comuna 10,Floresta,-34.6333723220968,-58.4830129536371,POINT (-58.4830129536371 -34.6333723220968)
BRAULIO,RESTAURANTE,TRADICIONAL,Comuna 14,Palermo,-34.5707495816247,-58.4334624031121,POINT (-58.4334624031121 -34.5707495816247)
BRAVO,CAFE,MINUTAS,Comuna 6,Caballito,-34.6161365600772,-58.4317816662247,POINT (-58.4317816662247 -34.6161365600772)
BRAZILIAN,RESTAURANTE,MINUTAS,Comuna 7,Flores,-34.6317033001001,-58.4552929550257,POINT (-58.4552929550257 -34.6317033001001)
BREAD FACTORY,CAFE,PORTEA'A,Comuna 1,San Nicolas,-34.6069658698104,-58.3770103805816,POINT (-58.3770103805816 -34.6069658698104)
BREAK TIME,RESTAURANTE,FUSION,Comuna 1,San Nicolas,-34.6015497642587,-58.371244028419,POINT (-58.371244028419 -34.6015497642587)
BRETON,RESTAURANTE,MINUTAS,Comuna 1,San Nicolas,-34.6054342533316,-58.3885822775098,POINT (-58.3885822775098 -34.6054342533316)
BRICCO,RESTAURANTE,MINUTAS,Comuna 2,Recoleta,-34.5920161811421,-58.3998184774987,POINT (-58.3998184774987 -34.5920161811421)
